team,half,time,from,to,passtype(단/중/장),isSuccess
kor,1st,0:38,김영권,손흥민,장,성공
kor,1st,2:27,기성용,손흥민,장,실패
kor,1st,5:13,홍철,손흥민,단,성공
kor,1st,6:22,김영권,남태희,장,실패
kor,1st,6:32,장현수,이용,중,성공
kor,1st,8:40,기성용,홍철,장,성공
kor,1st,9:13,기성용,홍철,장,성공
kor,1st,10:06,이용,이재성,중,성공
kor,1st,10:30,기성용,이용,장,성공
kor,1st,10:43,기성용,홍철,중,성공
kor,1st,10:56,이재성,지동원,단,성공
kor,1st,12:04,이재성,지동원,단,실패
kor,1st,12:44,남태희,이재성,단,성공
kor,1st,13:31,이재성,지동원,단,성공
kor,1st,15:22,김영권,지동원,중,성공
kor,1st,21:09,장현수,이재성,장,실패
kor,1st,26:20,지동원,지동원,개인돌파,성공
kor,1st,27:28,기성용,손흥민,장,성공
kor,1st,31:13,장현수,지동원,장,실패
kor,1st,31:27,이용,이재성,중,실패
kor,1st,32:35,기성용,남태희,장,성공
kor,1st,36:00,홍철,손흥민,중,실패
kor,1st,38:58,정우영,이용,중,성공
kor,1st,39:58,이재성,손흥민,중,성공
kor,1st,40:15,손흥민,남태희,단,성공
kor,1st,40:20,손흥민,홍철,단,성공
kor,1st,40:27,이재성,남태희,단,성공
kor,1st,43:33,남태희,남태희,개인돌파,성공
kor,1st,43:43,홍철,지동원,중,실패
kor,1st,43:50,기성용,이용,중,실패
kor,2nd,0:38,손흥민,손흥민,개인돌파,성공
kor,2nd,1:59,지동원,남태희,단,성공
kor,2nd,4:40,손흥민,손흥민,개인돌파,성공
kor,2nd,5:02,정우영,손흥민,중,성공
kor,2nd,5:12,정우영,손흥민,중,성공
kor,2nd,5:25,장현수,지동원,중,성공
kor,2nd,10:22,이용,손흥민,단,성공
kor,2nd,14:21,손흥민,김민재,중,실패
kor,2nd,15:07,김민재,지동원,중,성공
kor,2nd,15:15,장현수,손흥민,단,성공
kor,2nd,20:21,손흥민,홍철,단,성공
kor,2nd,21:06,이재성,이용,단,성공
kor,2nd,24:32,김민재,황의조,장,실패
kor,2nd,26:22,문선민,남태희,중,성공
kor,2nd,27:37,남태희,손흥민,단,성공
kor,2nd,28:44,이용,장현수,중,실패
kor,2nd,29:51,이용,문선민,중,성공
kor,2nd,32:17,남태희,남태희,개인돌파,성공
kor,2nd,33:57,정우영,손흥민,중,실패
kor,2nd,38:02,김민재,황의조,장,성공
kor,2nd,39:24,황인범,황의조,중,성공
kor,2nd,40:47,김민재,황의조,장,성공
kor,2nd,42:33,정우영,김문환,장,성공
kor,2nd,43:11,이승우,이승우,개인돌파,성공
kor,2nd,43:52,홍철,황의조,중,실패
cos,1st,1:46,9,?,중,실패
cos,1st,3:39,8,12,중,성공
cos,1st,7:04,11,12,단,성공
cos,1st,7:11,9,?,중,실패
cos,1st,19:25,8,8,개인돌파,성공
cos,1st,32:16,?,11,중,실패
cos,1st,36:53,12,12,개인돌파,성공
cos,1st,42:36,12,12,개인돌파,실패
cos,1st,44:30,?,16,중,성공
cos,2nd,7:49,21,11,중,실패
cos,2nd,11:13,16,?,단,실패
cos,2nd,11:42,21,21,개인돌파,실패
cos,2nd,12:14,16,11,중,성공
cos,2nd,17:06,?,?,단,실패
cos,2nd,30:07,21,21,개인돌파,성공
cos,2nd,31:38,21,22,단,실패
cos,2nd,34:27,?,?,중,실패
cos,2nd,45:18,?,?,단,성공
cos,2nd,47:49,?,11,단,성공